library_id,experiment,batch_10x,Raw_Data,fastq_dir,souporcell_k
EGO_1,Control,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_001.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_02.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/Control/EGO_1,2
EGO_2,HD,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_010.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_04.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/HD/EGO_2,3
EGO_3,MF,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_011.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_05.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/MF/EGO_3,2
EGO_4,MF,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F004_02.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_05.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/MF/EGO_4,2
EGO_5,MF,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_007.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_05.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/MF/EGO_5,2
EGO_6,MF,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_005.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_05.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/MF/EGO_6,2
EGO_11,Control,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_004.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_02.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/Control/EGO_11,1
EGO_12,injured_comE,202602,/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_02.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/injured_comE/EGO_12,1
EGO_13,pAML,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_003.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_03.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/pAML/EGO_13,2
EGO_14,pAML,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_002.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_03.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/pAML/EGO_14,2
EGO_15,sAML,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_009.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_03.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/sAML/EGO_15,2
EGO_16,sAML,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_012.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_04.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/sAML/EGO_16,2
EGO_17,sAML,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_006.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_04.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/sAML/EGO_17,3
EGO_18,sAML,202602,/project/ANGEL/shared/2026.01.13_FullSeq_Org_10X/X204SC26018031-Z02-F006_006.tar;/project/ANGEL/shared/2026.01.13_ShallowSeq_Org_10X/RawData/X204SC25127626-Z01-F001/X204SC25127626-Z01-F001_04.tar,/project/ANGEL/shared/Pipeline_test/Data/Fastq/202602/sAML/EGO_18,3
